Title,Link,Date,Source,Summary,Term,LanguageQueried
CJI Sanjiv Khanna retires today - lokmattimes.com,https://news.google.com/rss/articles/CBMieEFVX3lxTFB1SGpTbU5QR210VGY0ZFhPY19PaDdLYWJzSi0teUlvRUE2aWV5YUN5TEs1UVZEVDBZNWdCbUpKYUEzUHhjN044OGRvMXpVTV9sTkhZblg2bm05ZTUwLUpjRzdhWVpySmhtZl9lblJ4bXZWZEUyTXM5ctIBfkFVX3lxTE5LR1d3Vl8zU3dTVG1sa3hSWkYwMEJhcWFoMEl6ekQ4dHJ2ZURRMWtITlRPN0FRYXdfSEZDV2VBelBzcmZpbWRudVhTZ19GMElhYk5XZUFHZWllS0N1d2RFMTRwN3ZRX29Bd3BoZVpiZWFFQ3FKbE84ejByN0oyZw?oc=5,2025-05-13 09:05:36,lokmattimes.com,"<a href=""https://news.google.com/rss/articles/CBMieEFVX3lxTFB1SGpTbU5QR210VGY0ZFhPY19PaDdLYWJzSi0teUlvRUE2aWV5YUN5TEs1UVZEVDBZNWdCbUpKYUEzUHhjN044OGRvMXpVTV9sTkhZblg2bm05ZTUwLUpjRzdhWVpySmhtZl9lblJ4bXZWZEUyTXM5ctIBfkFVX3lxTE5LR1d3Vl8zU3dTVG1sa3hSWkYwMEJhcWFoMEl6ekQ4dHJ2ZURRMWtITlRPN0FRYXdfSEZDV2VBelBzcmZpbWRudVhTZ19GMElhYk5XZUFHZWllS0N1d2RFMTRwN3ZRX29Bd3BoZVpiZWFFQ3FKbE84ejByN0oyZw?oc=5"" target=""_blank"">CJI Sanjiv Khanna retires today</a>&nbsp;&nbsp;<font color=""#6f6f6f"">lokmattimes.com</font>",Disaster,en
BJP's nationwide ‘Tiranga Yatra’ today to honour armed forces - lokmattimes.com,https://news.google.com/rss/articles/CBMinAFBVV95cUxQUmJsel91dHlCSW5mWmJpOEFLdDEyXzBzLVVoc3h3LWNuR0k1Mm01bFMzQjVfako2djJGdWUyeVpiNGNGcGVRNHRZM3FlMTBDaGcxMXI5MnRFQUlCRDExRzEyaFBJaU1qSXRIWkNuOHRGUTkzY1Z5OEFXWjMzTW1Pa0RMaFpLTXJYRTB3VnREa3Q5ZVF6amxyOHlDU2fSAaIBQVVfeXFMT2xHYUpQcUtrUHlhN2dhck1QVjFKaDlvVHRHYzd0NzJLbmkxQjc3TVhqbEI4Z0hKdWtvaWVuSDF6SWwxUkY5U2FxQllLQ0ZzdG9SbW04N0lIWjgyYkVtNEpIb09xdVRfSmVuZHZmU0s4YU9VRTc3b0QxZjViNlFYM0VKOUpTX1dwMV91SlZmOGd3M2M2ZHdSdEpDdTF4dUQtZnJn?oc=5,2025-05-13 08:40:25,lokmattimes.com,"<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxQUmJsel91dHlCSW5mWmJpOEFLdDEyXzBzLVVoc3h3LWNuR0k1Mm01bFMzQjVfako2djJGdWUyeVpiNGNGcGVRNHRZM3FlMTBDaGcxMXI5MnRFQUlCRDExRzEyaFBJaU1qSXRIWkNuOHRGUTkzY1Z5OEFXWjMzTW1Pa0RMaFpLTXJYRTB3VnREa3Q5ZVF6amxyOHlDU2fSAaIBQVVfeXFMT2xHYUpQcUtrUHlhN2dhck1QVjFKaDlvVHRHYzd0NzJLbmkxQjc3TVhqbEI4Z0hKdWtvaWVuSDF6SWwxUkY5U2FxQllLQ0ZzdG9SbW04N0lIWjgyYkVtNEpIb09xdVRfSmVuZHZmU0s4YU9VRTc3b0QxZjViNlFYM0VKOUpTX1dwMV91SlZmOGd3M2M2ZHdSdEpDdTF4dUQtZnJn?oc=5"" target=""_blank"">BJP's nationwide ‘Tiranga Yatra’ today to honour armed forces</a>&nbsp;&nbsp;<font color=""#6f6f6f"">lokmattimes.com</font>",Disaster,en
Mumbai Engineering Student Defrauded of Rs 6 Lakh by Cyber Criminals While Searching for Call Girl... - lokmattimes.com,https://news.google.com/rss/articles/CBMi6wFBVV95cUxPX1ZLMjNBdWVDZkptLTA3Y0ZoclpkVHplVkw4djJ1cXBEWkhzZ2V0aDNMemF3LUJMRW9OVGxHanV3aGZ6ektsMkt2S011NHVXR25aZ3c4blRSbVdwNUtDVDhDalc3eDRKN2ZqY0pIcmNNOHlFY09JYXBBMl9JcTI5VFBMTm5xS1o4NFFCZ01hM0JNanpoUFR2YmY1amVtTDk3a3ljNzk4TTBhcHdVb3UwUjJhV1lEZTRIbkFNWThXaXFkNUUyb2U5UjhvT0J3b2ZDLXJtRjN1RVF2cjl3Z0FrNVJIYUpmYXo3NEtR0gHwAUFVX3lxTFBpT0lUeHlucDdNdWU4SE9qaTNKV05WMjhsbjFQUGhiWl9TZVY5UFZoRW1Tb3lMU1hDeGJtN1l2bkNhQ2ZKYUFoSjJlcGlKMmt2Z2xjbXRqZjZ0bXJLdUZ4eTkwNHdnWmNtVzl0RHhCM05pdWhLUnFZYmVocldRVWpRNXE2b0FmSlp4WDR3dkE0MjMwbngxaU9jUGtvM1ZQcEY5Z2FVWDNSUjEyd0FBQzBGZ09tNVEzclUzNlc2czRwaU5hSDhWaWpMMXJpYnpYU1I1aWFqVmZ0cjVjbVZhcG1PdHJuN05kT3pSMW5CZUY2dQ?oc=5,2025-05-13 07:24:34,lokmattimes.com,"<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxPX1ZLMjNBdWVDZkptLTA3Y0ZoclpkVHplVkw4djJ1cXBEWkhzZ2V0aDNMemF3LUJMRW9OVGxHanV3aGZ6ektsMkt2S011NHVXR25aZ3c4blRSbVdwNUtDVDhDalc3eDRKN2ZqY0pIcmNNOHlFY09JYXBBMl9JcTI5VFBMTm5xS1o4NFFCZ01hM0JNanpoUFR2YmY1amVtTDk3a3ljNzk4TTBhcHdVb3UwUjJhV1lEZTRIbkFNWThXaXFkNUUyb2U5UjhvT0J3b2ZDLXJtRjN1RVF2cjl3Z0FrNVJIYUpmYXo3NEtR0gHwAUFVX3lxTFBpT0lUeHlucDdNdWU4SE9qaTNKV05WMjhsbjFQUGhiWl9TZVY5UFZoRW1Tb3lMU1hDeGJtN1l2bkNhQ2ZKYUFoSjJlcGlKMmt2Z2xjbXRqZjZ0bXJLdUZ4eTkwNHdnWmNtVzl0RHhCM05pdWhLUnFZYmVocldRVWpRNXE2b0FmSlp4WDR3dkE0MjMwbngxaU9jUGtvM1ZQcEY5Z2FVWDNSUjEyd0FBQzBGZ09tNVEzclUzNlc2czRwaU5hSDhWaWpMMXJpYnpYU1I1aWFqVmZ0cjVjbVZhcG1PdHJuN05kT3pSMW5CZUY2dQ?oc=5"" target=""_blank"">Mumbai Engineering Student Defrauded of Rs 6 Lakh by Cyber Criminals While Searching for Call Girl...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">lokmattimes.com</font>",Disaster,en
"McDonald’s To Hire Nearly 375,000 Employees Across US in 2025 Summer Drive - lokmattimes.com",https://news.google.com/rss/articles/CBMivAFBVV95cUxQdnliLWtCOENkRVgzdTd6TEhPUDlCLWdtdVpNNUZhTUNWeXBhOWhVVVVOeGpnMHE1d2Y3d2l1enM3QlBMaEtmNWhWWmJEVGs1bGtsblZ5WTQ3R05iRmhtQjNGSHBjNzFOZ3VMVmFqSjBDbDl4RWM1TTAzWld2YzFaaDBZV2FmUjZpaFJmVkwwamFaSVdfenJBUmliR1V2eDlPRFdPY29pNDRCQTNxa1l0X2xJYTJlYjVkc1BTa9IBwgFBVV95cUxNUkpXQmxIQm9leHNSV0xSblVnNEMyMjFHRXhId1kzWHU0RnZEUk11N2MxdWRLOWlnU2N2Y0syekJvMFBFX1Z4UXFGcndPSnNqSFF2UjBJNHZZQk5sUDRQRFNxNFBYRzE5OVFKdWpfTDQyeEJrMWctNHRrNkhVUlMzbWVDMVRmTHI3TktSNTRYZ1VfTlFlMzZvbFhmZ0VENUd1cFVPS1ZUYkpKTUlaMW9xQ1g4Nk0tbFlQdGZVTTI2TU1CZw?oc=5,2025-05-13 07:48:09,lokmattimes.com,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxQdnliLWtCOENkRVgzdTd6TEhPUDlCLWdtdVpNNUZhTUNWeXBhOWhVVVVOeGpnMHE1d2Y3d2l1enM3QlBMaEtmNWhWWmJEVGs1bGtsblZ5WTQ3R05iRmhtQjNGSHBjNzFOZ3VMVmFqSjBDbDl4RWM1TTAzWld2YzFaaDBZV2FmUjZpaFJmVkwwamFaSVdfenJBUmliR1V2eDlPRFdPY29pNDRCQTNxa1l0X2xJYTJlYjVkc1BTa9IBwgFBVV95cUxNUkpXQmxIQm9leHNSV0xSblVnNEMyMjFHRXhId1kzWHU0RnZEUk11N2MxdWRLOWlnU2N2Y0syekJvMFBFX1Z4UXFGcndPSnNqSFF2UjBJNHZZQk5sUDRQRFNxNFBYRzE5OVFKdWpfTDQyeEJrMWctNHRrNkhVUlMzbWVDMVRmTHI3TktSNTRYZ1VfTlFlMzZvbFhmZ0VENUd1cFVPS1ZUYkpKTUlaMW9xQ1g4Nk0tbFlQdGZVTTI2TU1CZw?oc=5"" target=""_blank"">McDonald’s To Hire Nearly 375,000 Employees Across US in 2025 Summer Drive</a>&nbsp;&nbsp;<font color=""#6f6f6f"">lokmattimes.com</font>",Disaster,en
Taiwan MND detects 31 Chinese aircraft in its territory; Beijing launches satellite - lokmattimes.com,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNUW5FOFpCRWdZUHdvRmhvZDh3YjJoNEo3M0Q4Y3AwTjVOamVYUGZzRjFxMldRXzhvajEtZXY3NER0czFjaXBvQm10bHRSeG45Mm5pRHBCa29UUU1fcVJpc1BFWXEyVEFrbnY3REx0SVV1LTRqbHByVzZQZ2hmSlVqZ3pzSGhPTWNZOXlJSWREbXZ2NWZPRUxfYmgxNlVpTkY0Q3RxeVlIeHB3TDZhRTQ4c2E0aHA4c0tsLVZMS0RubzRlSU3SAcgBQVVfeXFMT1o2d003T1k2SWxkZXBSTi1pRTRubHd4enh0bXF1T1Q4bFlvYm1pZmctRVJYWWFqcWdIcmF3anFDSGFORWNzWXcwRUVDNnJqbl9Vcll2b3UxRE5yQk9EdERVbXVvbzJGMjBLYzAzRHlndWVpNkk3by1GUWVERno1Wk9QdlB5NnU0Zk9HcnlRcUNmc0dvZ3dxWGFJbGQ4M2N0VjU5em4tLXI0NExLT01sOWFBTUdoWU9KX3gzTzA4Znd4QThvbW5pQmY?oc=5,2025-05-13 06:54:56,lokmattimes.com,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxNUW5FOFpCRWdZUHdvRmhvZDh3YjJoNEo3M0Q4Y3AwTjVOamVYUGZzRjFxMldRXzhvajEtZXY3NER0czFjaXBvQm10bHRSeG45Mm5pRHBCa29UUU1fcVJpc1BFWXEyVEFrbnY3REx0SVV1LTRqbHByVzZQZ2hmSlVqZ3pzSGhPTWNZOXlJSWREbXZ2NWZPRUxfYmgxNlVpTkY0Q3RxeVlIeHB3TDZhRTQ4c2E0aHA4c0tsLVZMS0RubzRlSU3SAcgBQVVfeXFMT1o2d003T1k2SWxkZXBSTi1pRTRubHd4enh0bXF1T1Q4bFlvYm1pZmctRVJYWWFqcWdIcmF3anFDSGFORWNzWXcwRUVDNnJqbl9Vcll2b3UxRE5yQk9EdERVbXVvbzJGMjBLYzAzRHlndWVpNkk3by1GUWVERno1Wk9QdlB5NnU0Zk9HcnlRcUNmc0dvZ3dxWGFJbGQ4M2N0VjU5em4tLXI0NExLT01sOWFBTUdoWU9KX3gzTzA4Znd4QThvbW5pQmY?oc=5"" target=""_blank"">Taiwan MND detects 31 Chinese aircraft in its territory; Beijing launches satellite</a>&nbsp;&nbsp;<font color=""#6f6f6f"">lokmattimes.com</font>",Disaster,en
Trump signs executive order aiming to reduce drug prices - lokmattimes.com,https://news.google.com/rss/articles/CBMioAFBVV95cUxQNWRMTUtTX1JhMUlJc3BtM2JVdEdmd1hXdzF2TXBrLUpmdTBTcmdFU21IYmluai00SUZYTEZob2EwT0ZnbU04YnRYaGlGUWxMQmlzUkVoNk9KUmFqaVNfM1l0Z0JDTFQ0SFZ2TV9TeTJEVFJhZnFFUFhiSW5Ebmx3cWc5RFBVZmdVZEZ6cHRfVkhsLWo0NUdZYXlCZ0xtSW5J0gGmAUFVX3lxTE05a1BHRlVWLWFkQzlPSUIxNTZYWExzbTNoTlMxRFEwWVFENkh6dE45VE52akJPUDhtazc5dnhOc1BVSkxKbEpYNkZWdTRHd2lvakxnUmNweE01NkxETlFCa05MYVFUWnBJWHpQN0dqQnAtajhERTk5cUIzSXZEUm93d0ZOa1FEV0FubUZlNXprRFlITW8wOFVjZ2FsVHZ3YnRYcWhRN0E?oc=5,2025-05-13 06:40:27,lokmattimes.com,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxQNWRMTUtTX1JhMUlJc3BtM2JVdEdmd1hXdzF2TXBrLUpmdTBTcmdFU21IYmluai00SUZYTEZob2EwT0ZnbU04YnRYaGlGUWxMQmlzUkVoNk9KUmFqaVNfM1l0Z0JDTFQ0SFZ2TV9TeTJEVFJhZnFFUFhiSW5Ebmx3cWc5RFBVZmdVZEZ6cHRfVkhsLWo0NUdZYXlCZ0xtSW5J0gGmAUFVX3lxTE05a1BHRlVWLWFkQzlPSUIxNTZYWExzbTNoTlMxRFEwWVFENkh6dE45VE52akJPUDhtazc5dnhOc1BVSkxKbEpYNkZWdTRHd2lvakxnUmNweE01NkxETlFCa05MYVFUWnBJWHpQN0dqQnAtajhERTk5cUIzSXZEUm93d0ZOa1FEV0FubUZlNXprRFlITW8wOFVjZ2FsVHZ3YnRYcWhRN0E?oc=5"" target=""_blank"">Trump signs executive order aiming to reduce drug prices</a>&nbsp;&nbsp;<font color=""#6f6f6f"">lokmattimes.com</font>",Disaster,en
Drones Spotted Along IB in Samba; Armed Forces Shoot Down Surveillance Drone in Jalandhar - lokmattimes.com,https://news.google.com/rss/articles/CBMixgFBVV95cUxQRndNV2NoNzJLa3hMSzBvRERtME5Tbkd3ZlBBVldVeTBRVGxfUkFjM0c4ZG54X29PbW4tQVV5OUhwWllMTGgyaDVjMzRRUnQyT0FoTklvWU5mTklncTBjcDVETGZaeW1DaTR1aEkxMmZnbFJBVVMySkFSLXVuVzhwUDFmdldxQ2VOa0ZsRGhVc1NmZi1zRjU0dGgxOUVqSVBBN24xUUFRdlF3QWpDbjVLMV9SYXlYaFhLRVMyV0ZZYXhhV3BzQXfSAcsBQVVfeXFMTWlvU0lYdDRVZlV5b2syWm5HcVdFQTF1Y1lVREt0QkdMSlh5TWE4bVNwOTJ2V25fdFI0YldQY09ZQTdObHRvY2IyMVFMTlotVTFuRHRKTUZveHhGMTBzcVNwRjdTX2ZWN09hRG9xVnpRQzFiYnhkSnUzNHRwSXdZNjVTLWYwbWRPV2E5VnVBLVl1UTJhQWp6dDRYeEdsc1JySWdMSm1aR2tHb1JabTBVUy1qMWFhVWdwNkZTSndzZG1zeWxQZnc5X0kxdkE?oc=5,2025-05-13 07:16:05,lokmattimes.com,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxQRndNV2NoNzJLa3hMSzBvRERtME5Tbkd3ZlBBVldVeTBRVGxfUkFjM0c4ZG54X29PbW4tQVV5OUhwWllMTGgyaDVjMzRRUnQyT0FoTklvWU5mTklncTBjcDVETGZaeW1DaTR1aEkxMmZnbFJBVVMySkFSLXVuVzhwUDFmdldxQ2VOa0ZsRGhVc1NmZi1zRjU0dGgxOUVqSVBBN24xUUFRdlF3QWpDbjVLMV9SYXlYaFhLRVMyV0ZZYXhhV3BzQXfSAcsBQVVfeXFMTWlvU0lYdDRVZlV5b2syWm5HcVdFQTF1Y1lVREt0QkdMSlh5TWE4bVNwOTJ2V25fdFI0YldQY09ZQTdObHRvY2IyMVFMTlotVTFuRHRKTUZveHhGMTBzcVNwRjdTX2ZWN09hRG9xVnpRQzFiYnhkSnUzNHRwSXdZNjVTLWYwbWRPV2E5VnVBLVl1UTJhQWp6dDRYeEdsc1JySWdMSm1aR2tHb1JabTBVUy1qMWFhVWdwNkZTSndzZG1zeWxQZnc5X0kxdkE?oc=5"" target=""_blank"">Drones Spotted Along IB in Samba; Armed Forces Shoot Down Surveillance Drone in Jalandhar</a>&nbsp;&nbsp;<font color=""#6f6f6f"">lokmattimes.com</font>",Disaster,en
Turkey ready to support Russia-Ukraine peace talks at every step: Erdogan - lokmattimes.com,https://news.google.com/rss/articles/CBMitgFBVV95cUxNMW9BYW00T2RsUEprUERLRWtwa08yLWdpcjdKVE1XN1h5QjhHb1BlNkpVVWgwUGtEQ25GNFBhbnVFZUNfWHJ1MmJnRUhIOXpSNGVuN1lTT1FyT1JwZjdONDlqeG05UFNwODBDSjl6aFdJbDRSNGdpOGpMR3J3WEhFLU1RY19IbGszVjVHZEFPQVdEaHA5Ym9nREwwNXdjZnJLS1d3WExvVzYwWEhyQlpYel9tZ19MQdIBuwFBVV95cUxNb2hMOThBODJpT1JwRy1VSzJrWGhtOEpqU19Rb3dtcWZtRTZvMF81dFNMY0M5QmtmUGZPQl9DTndmVVBJM1R4bFRCbEFMNWdzV1BZQmFPVWJDdzJ6TE1BUjBDaHZtazJLVzhXXzU0R2NfWU1hNGNwS2Zicm16OVN2NEVNeHNqQjM1OUlxLTM2RzZ4Y0I1NWtEdU5md2ZUT2VseW1rU1JQcldQREh2eEotVng2Z2dqTG9PRV84?oc=5,2025-05-13 06:45:22,lokmattimes.com,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxNMW9BYW00T2RsUEprUERLRWtwa08yLWdpcjdKVE1XN1h5QjhHb1BlNkpVVWgwUGtEQ25GNFBhbnVFZUNfWHJ1MmJnRUhIOXpSNGVuN1lTT1FyT1JwZjdONDlqeG05UFNwODBDSjl6aFdJbDRSNGdpOGpMR3J3WEhFLU1RY19IbGszVjVHZEFPQVdEaHA5Ym9nREwwNXdjZnJLS1d3WExvVzYwWEhyQlpYel9tZ19MQdIBuwFBVV95cUxNb2hMOThBODJpT1JwRy1VSzJrWGhtOEpqU19Rb3dtcWZtRTZvMF81dFNMY0M5QmtmUGZPQl9DTndmVVBJM1R4bFRCbEFMNWdzV1BZQmFPVWJDdzJ6TE1BUjBDaHZtazJLVzhXXzU0R2NfWU1hNGNwS2Zicm16OVN2NEVNeHNqQjM1OUlxLTM2RzZ4Y0I1NWtEdU5md2ZUT2VseW1rU1JQcldQREh2eEotVng2Z2dqTG9PRV84?oc=5"" target=""_blank"">Turkey ready to support Russia-Ukraine peace talks at every step: Erdogan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">lokmattimes.com</font>",Disaster,en
South Korea: PPP's Kim apologises for public suffering caused by martial law aftermath - lokmattimes.com,https://news.google.com/rss/articles/CBMixgFBVV95cUxNVldYdWFRYks0cGVKXzZQWTljZkxoelNYazlOQ21OVVdiYnMtSmM5RTNURHBXNjBEMVgwZ2plcHU5VnlPaHNHQ09hTU1scF9xSFNmZ2NHQU8xYTk5dTJIQlJsQzhuX191OXpPZVQ0b2lZYi1CTmdyZUxRZ2VtX25vVDR6ZUdRN0xKaGRuZ3ZuYXJvakktQW43b3dJbFNIc2luSFUzMm96a25JWUQ4SUpZTE9CdHJrRWtQS2pjVGNGdVlldFVWcFHSAcsBQVVfeXFMT1RaWl9kY1kxeGhLN2hMWUVIa2RXZkRRdDQzNldlMVFIbTZNRUd1RUVobndRbmktN3FHemhoUW50c2VHbUh3ck8xRmc3WGJhbzdkb1c0b3k1UUZrNUtlS0lhNTRrM0NzSkdrZ3FCamh6SGZ4WjFjWnJUVkV2SXhwS1VIbUpaYmk5cHIzeXdpV1MxS1djMkNfYW52dXoxVGNqV1JLNDBtMk0yR09PYWhMUkdzeW85dHU1bkFoQWdiTHpPQU4tQzE4RE5fZEE?oc=5,2025-05-13 06:25:22,lokmattimes.com,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxNVldYdWFRYks0cGVKXzZQWTljZkxoelNYazlOQ21OVVdiYnMtSmM5RTNURHBXNjBEMVgwZ2plcHU5VnlPaHNHQ09hTU1scF9xSFNmZ2NHQU8xYTk5dTJIQlJsQzhuX191OXpPZVQ0b2lZYi1CTmdyZUxRZ2VtX25vVDR6ZUdRN0xKaGRuZ3ZuYXJvakktQW43b3dJbFNIc2luSFUzMm96a25JWUQ4SUpZTE9CdHJrRWtQS2pjVGNGdVlldFVWcFHSAcsBQVVfeXFMT1RaWl9kY1kxeGhLN2hMWUVIa2RXZkRRdDQzNldlMVFIbTZNRUd1RUVobndRbmktN3FHemhoUW50c2VHbUh3ck8xRmc3WGJhbzdkb1c0b3k1UUZrNUtlS0lhNTRrM0NzSkdrZ3FCamh6SGZ4WjFjWnJUVkV2SXhwS1VIbUpaYmk5cHIzeXdpV1MxS1djMkNfYW52dXoxVGNqV1JLNDBtMk0yR09PYWhMUkdzeW85dHU1bkFoQWdiTHpPQU4tQzE4RE5fZEE?oc=5"" target=""_blank"">South Korea: PPP's Kim apologises for public suffering caused by martial law aftermath</a>&nbsp;&nbsp;<font color=""#6f6f6f"">lokmattimes.com</font>",Disaster,en
Syria welcomes US president's remarks on potential sanctions relief - lokmattimes.com,https://news.google.com/rss/articles/CBMirgFBVV95cUxOYk54WEw5ZGtCbDBWRVlaY1RfT0RZUVg1MmNCX08zM0ZBSHlFMjVNZWhLOXg3bjFRc1VCYno5VElXQkF2SDlPUWJnOUt3c2NKdnpnelF0UVNNSVo2UzlxeWttVXcxVmo4VTV1R2w2S0J6aDFDSkNVQXlFanV5UHg1bVp6WHNTVFRMTGgyUWZKWXJ0dHpBZUhYclE5SldYU0NqVHhYeTNnZUR2S09uRWfSAbMBQVVfeXFMTmUtRjY4ejdzZWNLYm0wdXZhYjA3Q3NZcnpWOFlwejZGQTBaeF96bWZJQVJsaHVOeWUxNlo0UGdKZURXbXA0Z3p4U1B6NGtxLUx2cnNZc3M5X1dSZWttTU9BMXBJUFhRcUtJR2tpS0VYN1Bpa0ZhZnhPMEs2d0pDV3FMaUNwM0NGblk0N2dBbjZiMW92dFJkbHhoaGhuTlpHc3BhYlpfVTJlemg3TnZJQWYwOHM?oc=5,2025-05-13 06:55:22,lokmattimes.com,"<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxOYk54WEw5ZGtCbDBWRVlaY1RfT0RZUVg1MmNCX08zM0ZBSHlFMjVNZWhLOXg3bjFRc1VCYno5VElXQkF2SDlPUWJnOUt3c2NKdnpnelF0UVNNSVo2UzlxeWttVXcxVmo4VTV1R2w2S0J6aDFDSkNVQXlFanV5UHg1bVp6WHNTVFRMTGgyUWZKWXJ0dHpBZUhYclE5SldYU0NqVHhYeTNnZUR2S09uRWfSAbMBQVVfeXFMTmUtRjY4ejdzZWNLYm0wdXZhYjA3Q3NZcnpWOFlwejZGQTBaeF96bWZJQVJsaHVOeWUxNlo0UGdKZURXbXA0Z3p4U1B6NGtxLUx2cnNZc3M5X1dSZWttTU9BMXBJUFhRcUtJR2tpS0VYN1Bpa0ZhZnhPMEs2d0pDV3FMaUNwM0NGblk0N2dBbjZiMW92dFJkbHhoaGhuTlpHc3BhYlpfVTJlemg3TnZJQWYwOHM?oc=5"" target=""_blank"">Syria welcomes US president's remarks on potential sanctions relief</a>&nbsp;&nbsp;<font color=""#6f6f6f"">lokmattimes.com</font>",Disaster,en
HRW urges Pope Leo XIV to review Vatican's 2018 agreement with China to protect religious freedom - lokmattimes.com,https://news.google.com/rss/articles/CBMi1gFBVV95cUxNbFU1M2xJeWhpSktxcHI4c0l3M0xfbUhoWS1xVzZtbno1Z0ZBd0NkNnNqc0lmZ1ctTGtUeGZ5cnFOSFV1MnJvcWd1MGJ0czRVQnkxcEYxT2JTeFNjZmNTazR2MnozX1BXNkRHVmswQTZLYk9aZ3ZZY2pIa3pnU2NobjFqV1dYbUxXV18wVlRmLVNMVkItai1LOW5uUkZWcUVzSVBTQ1NFeUxtN0JtaGhuWGxKMjF5VXpxWmtkX2d3djFfUTJsU3EycmtUSlhncDM5Yi1vWjdR0gHbAUFVX3lxTE1Ud1dRbjVEejV6TEEwQTdXM2M2cXhSbDI1azRrYlhRWnhGaWxsQld1WXNGMjFyQ25iX1RiY3ZjelBkQ05LUHl5ajNRRTdjSnJTOXJGejhfQXVQc3NWZ1BYUHdNU29ydWxNeFVjcFVlRTFNVjBqY3I2ME5lRmJYdjlCdzdjX2pVYm9xYWNVUC1nSmgwMTBfU1c4U0JCcGNkV2hxYTBiekRrUm1ueExZeko0ODhVVW95VmtqbTNMbUpmcjdOc29IVWhDOXAzd28yNzIxYmkxVmtzVGlSTQ?oc=5,2025-05-13 05:34:55,lokmattimes.com,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxNbFU1M2xJeWhpSktxcHI4c0l3M0xfbUhoWS1xVzZtbno1Z0ZBd0NkNnNqc0lmZ1ctTGtUeGZ5cnFOSFV1MnJvcWd1MGJ0czRVQnkxcEYxT2JTeFNjZmNTazR2MnozX1BXNkRHVmswQTZLYk9aZ3ZZY2pIa3pnU2NobjFqV1dYbUxXV18wVlRmLVNMVkItai1LOW5uUkZWcUVzSVBTQ1NFeUxtN0JtaGhuWGxKMjF5VXpxWmtkX2d3djFfUTJsU3EycmtUSlhncDM5Yi1vWjdR0gHbAUFVX3lxTE1Ud1dRbjVEejV6TEEwQTdXM2M2cXhSbDI1azRrYlhRWnhGaWxsQld1WXNGMjFyQ25iX1RiY3ZjelBkQ05LUHl5ajNRRTdjSnJTOXJGejhfQXVQc3NWZ1BYUHdNU29ydWxNeFVjcFVlRTFNVjBqY3I2ME5lRmJYdjlCdzdjX2pVYm9xYWNVUC1nSmgwMTBfU1c4U0JCcGNkV2hxYTBiekRrUm1ueExZeko0ODhVVW95VmtqbTNMbUpmcjdOc29IVWhDOXAzd28yNzIxYmkxVmtzVGlSTQ?oc=5"" target=""_blank"">HRW urges Pope Leo XIV to review Vatican's 2018 agreement with China to protect religious freedom</a>&nbsp;&nbsp;<font color=""#6f6f6f"">lokmattimes.com</font>",Disaster,en
India great Virat Kohli retires from test cricket - WFTV,https://news.google.com/rss/articles/CBMifkFVX3lxTFBCTHBqbzR2dHNpV05XU2Z2TDBRbFY3eS1iZkpjN2Z5X2ZqclEwTzcwajVtWXluRXZydWE3Z0tKYXFsRWpmWmE1ZUhlQXB2TmJmZkMyUGgza1RDLTBXOFpwNEg3eWFOLUhILWhOdlJUcE1iUXZPam93c1UxTHZmZ9IBkgFBVV95cUxQaENjcjdUaXZRa2NNdklaNEJGbXV5RHVXU3BQc1JZNGFhWHZfQTMwcnAtR1VMdXdnaWdsd0t0Y1A0azlOS2xDUEh6enRVNUFYTEpFZm1zQlNGODFwU3BCczU2ZHRoZmRidm81MUExMjJmSTRZLVZfRldHYXF1QWNmYkJBUEdUREJJdGc2MjBWUU1qUQ?oc=5,2025-05-12 14:52:52,WFTV,"<a href=""https://news.google.com/rss/articles/CBMifkFVX3lxTFBCTHBqbzR2dHNpV05XU2Z2TDBRbFY3eS1iZkpjN2Z5X2ZqclEwTzcwajVtWXluRXZydWE3Z0tKYXFsRWpmWmE1ZUhlQXB2TmJmZkMyUGgza1RDLTBXOFpwNEg3eWFOLUhILWhOdlJUcE1iUXZPam93c1UxTHZmZ9IBkgFBVV95cUxQaENjcjdUaXZRa2NNdklaNEJGbXV5RHVXU3BQc1JZNGFhWHZfQTMwcnAtR1VMdXdnaWdsd0t0Y1A0azlOS2xDUEh6enRVNUFYTEpFZm1zQlNGODFwU3BCczU2ZHRoZmRidm81MUExMjJmSTRZLVZfRldHYXF1QWNmYkJBUEdUREJJdGc2MjBWUU1qUQ?oc=5"" target=""_blank"">India great Virat Kohli retires from test cricket</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WFTV</font>",Disaster,en
